N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
188,코스맥스,"119,500","4,000",-3.24%,500,"13,563","11,350",24.06,"116,537",37.59,6.23,
189,아시아나항공,"18,150",100,+0.55%,"5,000","13,506","74,412",19.75,"665,650",-20.12,-43.83,
190,롯데관광개발,"19,300",200,+1.05%,500,"13,370","69,276",6.19,"284,066",-10.79,-30.43,
191,롯데칠성,"142,500",500,-0.35%,500,"13,222","9,279",8.83,"41,079",192.05,-1.00,
192,LG전자우,"74,900",400,-0.53%,"5,000","12,872","17,186",41.18,"56,073",6.98,N/A,
193,TIGER TOP10,"14,825",55,+0.37%,0,"12,742","85,950",0.18,"175,324",N/A,N/A,
194,코스모신소재,"41,950",250,-0.59%,"1,000","12,621","30,087",8.49,"1,072,507",75.72,7.16,
195,영풍,"684,000",0,0.00%,"5,000","12,600","1,842",4.39,"1,619",9.21,4.03,
196,이노션,"61,800",600,-0.96%,500,"12,360","20,000",30.07,"25,768",21.04,8.28,
197,KODEX 200TR,"14,090",95,+0.68%,0,"12,343","87,600",0.02,"89,950",N/A,N/A,
198,세방전지,"88,100",400,-0.45%,500,"12,334","14,000",25.44,"38,586",15.99,6.14,
199,티와이홀딩스,"30,700",950,-3.00%,500,"12,333","40,172",5.96,"241,529",1.16,N/A,
200,두산인프라코어,"15,700",600,-3.68%,"5,000","12,295","78,309",9.77,"1,260,266",14.94,6.47,
